Candidate Set,Type,Total Cost,Stddev (Equity)
610,Min Cost,2423431.0570095964,95.13896781803108
610,Min Stddev,2498569.4659618167,87.97796588368274
610,Balanced,2483175.8384645707,93.45599376110908
955,Min Cost,1872267.8159086204,74.50965363501722
955,Min Stddev,2056662.057056231,65.08496268301037
955,Balanced,2050320.313851949,73.08879972796225
