Label,Cost,Stddev
610 Min Cost,3047894.761832599,144.60027293052897
610 Min Stddev,3440865.5820053434,123.28076359367654
610 Random,3047894.761832599,144.60027293052897
955 Min Cost,2026855.7698822618,75.02965883780966
955 Min Stddev,2191703.4565442964,67.97965562734007
955 Random,2058123.698722112,67.99236511199797
